"","V1"
"1",19
"2",22
"3",29
"4",6
"5",21
"6",14
"7",2
"8",2
"9",2
"10",2
"11",14
"12",26
"13",2
"14",20
"15",7
"16",2
"17",15
"18",2
"19",14
"20",24
"21",14
"22",6
"23",14
"24",2
"25",2
"26",2
"27",19
"28",29
"29",21
"30",2
"31",2
"32",2
"33",2
"34",21
"35",18
"36",20
"37",18
"38",23
"39",18
"40",19
"41",2
"42",20
"43",20
"44",3
"45",19
"46",20
"47",18
"48",20
"49",19
"50",20
"51",23
"52",8
"53",20
"54",17
"55",20
"56",28
"57",20
"58",8
"59",20
"60",25
"61",20
"62",19
"63",23
"64",2
"65",14
"66",10
"67",2
"68",14
"69",14
"70",14
"71",12
"72",2
"73",31
"74",9
"75",14
"76",12
"77",14
"78",20
"79",23
"80",14
"81",2
"82",29
"83",26
"84",7
"85",9
"86",29
"87",26
"88",14
"89",28
"90",2
"91",29
"92",27
"93",18
"94",18
"95",29
"96",29
"97",18
"98",18
"99",18
"100",29
"101",21
"102",29
"103",29
"104",3
"105",29
"106",29
"107",29
"108",29
"109",18
"110",18
"111",18
"112",18
"113",29
"114",21
"115",18
"116",18
"117",18
"118",29
"119",29
"120",29
"121",18
"122",18
"123",18
"124",18
"125",18
"126",18
"127",18
"128",18
"129",18
"130",29
"131",18
"132",29
"133",18
"134",18
"135",18
"136",18
"137",18
"138",18
"139",18
"140",18
"141",18
"142",18
"143",18
"144",29
"145",18
"146",23
"147",29
"148",29
"149",29
"150",18
"151",18
"152",29
"153",29
"154",18
"155",18
"156",18
"157",18
"158",19
"159",18
"160",28
"161",18
"162",18
"163",18
"164",18
"165",18
"166",29
"167",23
"168",23
"169",18
"170",19
"171",28
"172",29
"173",18
"174",18
"175",18
"176",18
"177",18
"178",29
"179",18
"180",29
"181",29
"182",18
"183",29
"184",18
"185",29
"186",18
"187",18
"188",18
"189",23
"190",18
"191",18
"192",18
"193",18
"194",18
"195",18
"196",18
"197",29
"198",18
"199",29
"200",29
"201",29
"202",2
"203",29
"204",18
"205",18
"206",23
"207",18
"208",18
"209",18
"210",18
"211",29
"212",29
"213",18
"214",18
"215",18
"216",18
"217",18
"218",29
"219",18
"220",23
"221",18
"222",21
"223",29
"224",18
"225",18
"226",29
"227",18
"228",29
"229",27
"230",23
"231",23
"232",29
"233",29
"234",25
"235",18
"236",18
"237",18
"238",18
"239",29
"240",29
"241",29
"242",18
"243",29
"244",18
"245",21
"246",18
"247",29
"248",18
"249",12
"250",29
"251",2
"252",2
"253",2
"254",2
"255",2
"256",2
"257",18
"258",2
"259",2
"260",2
"261",18
"262",2
"263",21
"264",23
"265",2
"266",2
"267",20
"268",2
"269",2
"270",2
"271",22
"272",2
"273",2
"274",2
"275",2
"276",19
"277",2
"278",29
"279",2
"280",2
"281",2
"282",18
"283",2
"284",2
"285",2
"286",2
"287",2
"288",2
"289",2
"290",2
"291",2
"292",2
"293",26
"294",2
"295",3
"296",18
"297",19
"298",2
"299",2
"300",2
"301",2
"302",29
"303",2
"304",3
"305",19
"306",19
"307",18
"308",2
"309",28
"310",2
"311",2
"312",2
"313",2
"314",2
"315",2
"316",2
"317",2
"318",18
"319",2
"320",2
"321",18
"322",14
"323",23
"324",28
"325",28
"326",28
"327",7
"328",28
"329",6
"330",28
"331",10
"332",6
"333",20
"334",3
"335",6
"336",6
"337",17
"338",25
"339",1
"340",25
"341",25
"342",12
"343",14
"344",23
"345",25
"346",12
"347",5
"348",12
"349",12
"350",23
"351",12
"352",14
"353",14
"354",12
"355",12
"356",12
"357",14
"358",14
"359",14
"360",14
"361",19
"362",17
"363",14
"364",14
"365",14
"366",12
"367",14
"368",14
"369",23
"370",14
"371",12
"372",14
"373",12
"374",14
"375",14
"376",14
"377",12
"378",12
"379",12
"380",14
"381",14
"382",14
"383",8
"384",12
"385",12
"386",12
"387",8
"388",17
"389",12
"390",14
"391",14
"392",12
"393",14
"394",8
"395",14
"396",14
"397",14
"398",14
"399",14
"400",14
"401",14
"402",26
"403",14
"404",14
"405",12
"406",12
"407",29
"408",14
"409",14
"410",14
"411",14
"412",12
"413",14
"414",14
"415",12
"416",12
"417",14
"418",14
"419",14
"420",14
"421",17
"422",14
"423",14
"424",12
"425",14
"426",17
"427",12
"428",14
"429",14
"430",14
"431",12
"432",14
"433",14
"434",8
"435",8
"436",14
"437",12
"438",12
"439",12
"440",14
"441",14
"442",14
"443",14
"444",14
"445",14
"446",14
"447",12
"448",14
"449",12
"450",12
"451",12
"452",14
"453",12
"454",12
"455",14
"456",14
"457",14
"458",14
"459",14
"460",14
"461",12
"462",8
"463",14
"464",14
"465",12
"466",14
"467",14
"468",12
"469",12
"470",14
"471",14
"472",14
"473",14
"474",12
"475",12
"476",12
"477",12
"478",12
"479",12
"480",12
"481",12
"482",12
"483",12
"484",12
"485",8
"486",12
"487",12
"488",12
"489",12
"490",12
"491",12
"492",12
"493",12
"494",12
"495",12
"496",12
"497",12
"498",12
"499",12
"500",12
"501",12
"502",12
"503",12
"504",12
"505",12
"506",12
"507",12
"508",12
"509",12
"510",12
"511",12
"512",12
"513",12
"514",12
"515",12
"516",12
"517",12
"518",12
"519",12
"520",12
"521",12
"522",12
"523",12
"524",12
"525",12
"526",12
"527",12
"528",12
"529",12
"530",12
"531",12
"532",12
"533",12
"534",12
"535",12
"536",12
"537",12
"538",12
"539",12
"540",12
"541",12
"542",12
"543",12
"544",12
"545",12
"546",12
"547",12
"548",12
"549",12
"550",12
"551",12
"552",12
"553",12
"554",17
"555",12
"556",12
"557",12
"558",12
"559",12
"560",12
"561",12
"562",12
"563",12
"564",12
"565",12
"566",12
"567",12
"568",12
"569",12
"570",12
"571",19
"572",12
"573",12
"574",12
"575",12
"576",12
"577",12
"578",12
"579",12
"580",12
"581",12
"582",4
"583",12
"584",12
"585",12
"586",12
"587",12
"588",12
"589",12
"590",12
"591",12
"592",12
"593",12
"594",12
"595",12
"596",12
"597",12
"598",12
"599",30
"600",12
"601",12
"602",12
"603",12
"604",12
"605",12
"606",12
"607",12
"608",12
"609",12
"610",12
"611",12
"612",12
"613",12
"614",12
"615",8
"616",12
"617",12
"618",12
"619",19
"620",12
"621",12
"622",8
"623",8
"624",8
"625",12
"626",8
"627",12
"628",22
"629",12
"630",12
"631",12
"632",12
"633",12
"634",12
"635",12
"636",12
"637",8
"638",12
"639",12
"640",12
"641",12
"642",12
"643",8
"644",12
"645",12
"646",12
"647",12
"648",12
"649",12
"650",12
"651",8
"652",12
"653",12
"654",12
"655",12
"656",12
"657",12
