,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.002,0.036,0.022,0.012,0.014,0.024,0.004,0.006,0.0,0.028,0.02,0.028,0.004,0.02,0.008,0.04,0.05,0.03,0.17,0.04,0.008,0.01,0.01,0.002,0.02,0.024,0.004,0.332,0.032,0.0,0.0
1,0.008,0.048,0.004,0.0,0.002,0.034,0.004,0.0,0.03,0.084,0.002,0.038,0.01,0.23,0.012,0.008,0.024,0.054,0.05,0.002,0.04,0.004,0.016,0.004,0.01,0.172,0.018,0.038,0.054,0.0,0.0
2,0.032,0.09,0.024,0.012,0.006,0.024,0.0,0.006,0.012,0.068,0.014,0.072,0.044,0.054,0.03,0.028,0.006,0.006,0.054,0.03,0.022,0.01,0.178,0.018,0.014,0.086,0.004,0.04,0.002,0.006,0.008
3,0.014,0.1,0.008,0.03,0.016,0.008,0.0,0.002,0.012,0.058,0.01,0.084,0.018,0.08,0.028,0.048,0.008,0.01,0.112,0.04,0.008,0.008,0.05,0.068,0.026,0.056,0.018,0.042,0.022,0.01,0.006
4,0.072,0.02,0.01,0.0,0.002,0.006,0.002,0.034,0.014,0.038,0.028,0.038,0.0,0.18,0.03,0.012,0.12,0.0,0.064,0.016,0.004,0.014,0.0,0.016,0.004,0.038,0.008,0.186,0.042,0.002,0.0
5,0.002,0.008,0.056,0.0,0.024,0.002,0.0,0.02,0.0,0.002,0.004,0.008,0.0,0.016,0.0,0.044,0.0,0.01,0.114,0.076,0.006,0.012,0.016,0.006,0.028,0.004,0.008,0.028,0.496,0.002,0.008
6,0.02,0.004,0.0,0.0,0.0,0.012,0.0,0.066,0.024,0.022,0.04,0.128,0.0,0.226,0.012,0.006,0.146,0.0,0.048,0.0,0.0,0.0,0.002,0.016,0.0,0.018,0.004,0.194,0.01,0.0,0.002
7,0.026,0.04,0.014,0.0,0.002,0.014,0.0,0.002,0.03,0.08,0.022,0.034,0.006,0.084,0.006,0.056,0.058,0.0,0.132,0.028,0.02,0.008,0.012,0.034,0.016,0.074,0.02,0.08,0.084,0.0,0.018
8,0.014,0.046,0.006,0.0,0.002,0.044,0.002,0.0,0.114,0.092,0.008,0.062,0.014,0.204,0.008,0.042,0.102,0.0,0.032,0.006,0.006,0.0,0.008,0.038,0.004,0.074,0.0,0.058,0.012,0.0,0.002
9,0.014,0.034,0.004,0.006,0.004,0.036,0.048,0.002,0.032,0.048,0.002,0.166,0.016,0.158,0.008,0.008,0.062,0.024,0.106,0.01,0.006,0.006,0.014,0.01,0.004,0.074,0.006,0.084,0.008,0.0,0.0
10,0.002,0.032,0.0,0.002,0.008,0.01,0.0,0.048,0.002,0.016,0.008,0.036,0.002,0.078,0.0,0.008,0.016,0.05,0.314,0.084,0.006,0.018,0.0,0.008,0.014,0.008,0.0,0.21,0.012,0.0,0.008
11,0.062,0.03,0.0,0.0,0.002,0.004,0.0,0.016,0.0,0.072,0.05,0.298,0.022,0.092,0.004,0.024,0.124,0.0,0.098,0.006,0.026,0.01,0.002,0.002,0.0,0.026,0.0,0.026,0.004,0.0,0.0
12,0.002,0.004,0.0,0.0,0.002,0.006,0.0,0.024,0.056,0.006,0.026,0.026,0.014,0.144,0.0,0.0,0.028,0.0,0.07,0.002,0.002,0.01,0.004,0.0,0.002,0.0,0.002,0.564,0.006,0.0,0.0
13,0.064,0.026,0.016,0.002,0.002,0.02,0.004,0.002,0.026,0.024,0.008,0.06,0.008,0.172,0.004,0.024,0.144,0.0,0.034,0.008,0.002,0.004,0.002,0.126,0.002,0.122,0.01,0.07,0.014,0.0,0.0
14,0.042,0.032,0.022,0.048,0.0,0.012,0.0,0.01,0.036,0.114,0.002,0.038,0.016,0.172,0.006,0.072,0.01,0.012,0.036,0.006,0.012,0.044,0.066,0.016,0.034,0.056,0.0,0.034,0.0,0.0,0.052
15,0.004,0.014,0.0,0.0,0.0,0.03,0.0,0.024,0.028,0.04,0.014,0.022,0.0,0.662,0.002,0.048,0.07,0.002,0.012,0.0,0.0,0.002,0.0,0.0,0.0,0.012,0.006,0.006,0.0,0.002,0.0
16,0.006,0.132,0.01,0.0,0.0,0.038,0.0,0.002,0.048,0.066,0.008,0.058,0.002,0.182,0.042,0.026,0.196,0.0,0.026,0.006,0.0,0.0,0.008,0.034,0.002,0.056,0.004,0.036,0.01,0.0,0.002
17,0.01,0.208,0.004,0.026,0.0,0.032,0.0,0.026,0.01,0.032,0.0,0.01,0.0,0.026,0.016,0.006,0.008,0.096,0.07,0.034,0.018,0.01,0.044,0.014,0.198,0.038,0.0,0.028,0.036,0.0,0.0
