,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.068,0.084,0.01,0.002,0.004,0.068,0.0,0.0,0.016,0.152,0.046,0.028,0.0,0.052,0.05,0.044,0.044,0.02,0.028,0.0,0.02,0.008,0.044,0.016,0.046,0.036,0.014,0.052,0.046,0.002,0.0
1,0.042,0.066,0.01,0.008,0.038,0.05,0.012,0.0,0.028,0.068,0.01,0.008,0.0,0.018,0.02,0.016,0.018,0.052,0.072,0.034,0.002,0.022,0.074,0.032,0.046,0.01,0.0,0.174,0.07,0.0,0.0
2,0.048,0.072,0.012,0.0,0.014,0.008,0.016,0.0,0.014,0.072,0.038,0.01,0.002,0.008,0.006,0.008,0.004,0.012,0.122,0.034,0.018,0.046,0.044,0.01,0.014,0.018,0.034,0.05,0.24,0.012,0.014
3,0.184,0.062,0.006,0.004,0.006,0.05,0.004,0.0,0.03,0.094,0.038,0.012,0.0,0.03,0.026,0.024,0.084,0.01,0.114,0.008,0.016,0.018,0.008,0.018,0.01,0.024,0.004,0.05,0.056,0.002,0.008
4,0.092,0.036,0.002,0.0,0.002,0.004,0.0,0.0,0.028,0.068,0.048,0.024,0.0,0.016,0.03,0.09,0.04,0.004,0.132,0.022,0.018,0.006,0.008,0.058,0.014,0.006,0.0,0.22,0.008,0.0,0.024
5,0.072,0.088,0.006,0.012,0.004,0.032,0.0,0.002,0.024,0.038,0.018,0.034,0.0,0.03,0.042,0.06,0.026,0.01,0.146,0.006,0.038,0.016,0.012,0.048,0.012,0.016,0.006,0.11,0.066,0.002,0.024
6,0.102,0.08,0.016,0.006,0.014,0.026,0.002,0.0,0.016,0.08,0.01,0.01,0.0,0.04,0.032,0.048,0.02,0.016,0.062,0.006,0.008,0.04,0.038,0.034,0.036,0.004,0.002,0.122,0.12,0.008,0.002
7,0.004,0.074,0.02,0.002,0.0,0.014,0.0,0.0,0.022,0.006,0.084,0.02,0.0,0.016,0.026,0.11,0.016,0.0,0.082,0.01,0.004,0.004,0.002,0.012,0.014,0.006,0.0,0.404,0.04,0.004,0.004
8,0.018,0.142,0.02,0.004,0.0,0.046,0.004,0.002,0.018,0.128,0.02,0.0,0.008,0.244,0.014,0.024,0.016,0.016,0.026,0.002,0.006,0.012,0.064,0.012,0.038,0.074,0.01,0.02,0.012,0.0,0.0
9,0.038,0.018,0.008,0.002,0.024,0.014,0.002,0.0,0.036,0.074,0.008,0.018,0.0,0.012,0.042,0.074,0.012,0.01,0.11,0.012,0.012,0.032,0.062,0.058,0.02,0.03,0.004,0.164,0.036,0.002,0.066
10,0.064,0.034,0.0,0.002,0.008,0.03,0.002,0.0,0.036,0.08,0.038,0.002,0.0,0.006,0.052,0.044,0.008,0.014,0.112,0.044,0.036,0.03,0.038,0.078,0.01,0.046,0.002,0.092,0.07,0.0,0.022
11,0.014,0.064,0.028,0.002,0.0,0.056,0.002,0.0,0.012,0.104,0.044,0.006,0.0,0.04,0.024,0.022,0.012,0.058,0.114,0.058,0.014,0.014,0.164,0.006,0.056,0.012,0.002,0.052,0.016,0.004,0.0
12,0.02,0.002,0.034,0.002,0.048,0.01,0.004,0.002,0.004,0.0,0.002,0.018,0.006,0.026,0.044,0.014,0.022,0.01,0.032,0.028,0.014,0.008,0.022,0.004,0.028,0.058,0.016,0.052,0.47,0.0,0.0
13,0.084,0.042,0.004,0.008,0.008,0.048,0.01,0.0,0.044,0.122,0.006,0.008,0.002,0.008,0.01,0.054,0.02,0.014,0.11,0.068,0.044,0.028,0.028,0.036,0.05,0.018,0.002,0.044,0.066,0.0,0.014
14,0.092,0.126,0.014,0.006,0.012,0.052,0.008,0.0,0.014,0.048,0.07,0.004,0.0,0.048,0.042,0.066,0.034,0.018,0.076,0.032,0.004,0.012,0.048,0.044,0.004,0.012,0.0,0.08,0.032,0.002,0.0
15,0.088,0.052,0.016,0.004,0.004,0.038,0.012,0.0,0.018,0.042,0.01,0.016,0.0,0.016,0.106,0.1,0.026,0.018,0.11,0.006,0.024,0.02,0.016,0.074,0.002,0.01,0.008,0.08,0.072,0.002,0.01
16,0.046,0.074,0.028,0.01,0.01,0.026,0.004,0.002,0.026,0.046,0.01,0.034,0.0,0.046,0.054,0.07,0.028,0.02,0.084,0.008,0.062,0.024,0.016,0.028,0.024,0.018,0.014,0.114,0.05,0.0,0.024
17,0.128,0.128,0.014,0.0,0.0,0.048,0.0,0.002,0.024,0.122,0.012,0.01,0.002,0.184,0.006,0.0,0.018,0.012,0.066,0.006,0.022,0.006,0.046,0.016,0.038,0.04,0.004,0.012,0.034,0.0,0.0
18,0.184,0.04,0.004,0.016,0.0,0.102,0.0,0.0,0.014,0.14,0.074,0.002,0.0,0.016,0.03,0.046,0.092,0.01,0.02,0.01,0.0,0.002,0.008,0.034,0.022,0.02,0.002,0.076,0.034,0.0,0.002
19,0.086,0.016,0.004,0.004,0.002,0.024,0.0,0.006,0.066,0.048,0.042,0.016,0.002,0.028,0.054,0.042,0.026,0.004,0.134,0.012,0.018,0.024,0.018,0.154,0.006,0.008,0.0,0.07,0.062,0.0,0.024
20,0.088,0.034,0.074,0.0,0.014,0.02,0.006,0.0,0.01,0.034,0.008,0.058,0.0,0.024,0.012,0.03,0.014,0.008,0.16,0.02,0.028,0.034,0.014,0.008,0.02,0.02,0.006,0.12,0.128,0.004,0.004
21,0.004,0.08,0.008,0.004,0.002,0.028,0.0,0.006,0.128,0.008,0.064,0.034,0.0,0.028,0.008,0.072,0.042,0.004,0.124,0.012,0.014,0.002,0.008,0.1,0.01,0.002,0.002,0.108,0.04,0.0,0.058
22,0.006,0.006,0.066,0.0,0.004,0.006,0.0,0.004,0.002,0.072,0.002,0.006,0.0,0.042,0.008,0.01,0.002,0.14,0.006,0.0,0.086,0.01,0.238,0.0,0.004,0.024,0.0,0.244,0.012,0.0,0.0
23,0.178,0.052,0.002,0.022,0.0,0.166,0.004,0.0,0.022,0.136,0.026,0.002,0.0,0.08,0.004,0.028,0.038,0.01,0.032,0.004,0.002,0.01,0.008,0.062,0.014,0.032,0.012,0.044,0.008,0.0,0.002
24,0.024,0.058,0.018,0.006,0.004,0.072,0.018,0.002,0.0,0.036,0.008,0.012,0.078,0.28,0.0,0.006,0.066,0.012,0.012,0.004,0.018,0.04,0.054,0.002,0.022,0.106,0.018,0.008,0.014,0.002,0.0
25,0.198,0.074,0.004,0.004,0.0,0.022,0.002,0.008,0.042,0.102,0.004,0.008,0.0,0.11,0.01,0.006,0.084,0.018,0.1,0.004,0.006,0.012,0.004,0.022,0.018,0.02,0.002,0.066,0.048,0.002,0.0
26,0.116,0.038,0.006,0.054,0.004,0.188,0.008,0.002,0.002,0.116,0.01,0.0,0.0,0.046,0.034,0.036,0.012,0.012,0.054,0.008,0.002,0.014,0.048,0.016,0.018,0.018,0.008,0.112,0.018,0.0,0.0
27,0.054,0.018,0.028,0.002,0.0,0.042,0.004,0.006,0.002,0.226,0.09,0.008,0.002,0.052,0.016,0.088,0.034,0.022,0.044,0.01,0.024,0.01,0.01,0.004,0.016,0.026,0.0,0.134,0.024,0.002,0.002
28,0.098,0.04,0.032,0.004,0.0,0.066,0.014,0.012,0.004,0.152,0.028,0.006,0.0,0.018,0.002,0.014,0.016,0.072,0.104,0.024,0.03,0.016,0.042,0.01,0.028,0.028,0.002,0.052,0.082,0.004,0.0
29,0.088,0.06,0.012,0.006,0.002,0.224,0.012,0.0,0.012,0.158,0.026,0.002,0.002,0.042,0.136,0.042,0.014,0.022,0.002,0.004,0.0,0.0,0.02,0.01,0.01,0.03,0.0,0.034,0.03,0.0,0.0
30,0.018,0.108,0.034,0.004,0.006,0.006,0.004,0.0,0.008,0.008,0.046,0.068,0.0,0.04,0.004,0.042,0.046,0.002,0.142,0.038,0.03,0.002,0.01,0.05,0.046,0.01,0.02,0.102,0.1,0.0,0.006
31,0.026,0.096,0.03,0.002,0.016,0.004,0.01,0.002,0.014,0.024,0.012,0.012,0.0,0.01,0.006,0.02,0.006,0.076,0.21,0.006,0.024,0.09,0.026,0.008,0.016,0.014,0.006,0.064,0.134,0.018,0.018
